SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
ADANIENT,EQ,1-Jul-22,2190.9,2189.9,2242,2138.25,2229.25,2232.2,2192.41,2141743,4695581541,47117,566083,26.43
ADANIENT,EQ,4-Jul-22,2232.2,2232.2,2277,2228.35,2260.9,2261.85,2257.28,1581159,3569117233,45778,363163,22.97
ADANIENT,EQ,5-Jul-22,2261.85,2264,2290.7,2238,2243.65,2246.45,2265.41,1356776,3073660436,39354,352096,25.95
ADANIENT,EQ,6-Jul-22,2246.45,2245,2277,2236.5,2269,2272.85,2262.28,1045463,2365127363,25604,364195,34.84
ADANIENT,EQ,7-Jul-22,2272.85,2280,2294.95,2256,2274.85,2274.3,2273.73,946131,2151249937,28623,295473,31.23
ADANIENT,EQ,8-Jul-22,2274.3,2286,2303.6,2263.9,2297,2293.05,2285.08,898576,2053314172,23635,231484,25.76
ADANIENT,EQ,11-Jul-22,2293.05,2293.05,2384.6,2291.05,2364.5,2373.25,2345.62,1967308,4614560224,65448,325918,16.57
ADANIENT,EQ,12-Jul-22,2373.25,2364.4,2389.8,2350.15,2359.5,2365.65,2373.27,1273008,3021186812,47448,225292,17.7
ADANIENT,EQ,13-Jul-22,2365.65,2373.5,2384.65,2333.7,2353.1,2353.5,2357.09,982185,2315099897,37511,165310,16.83
ADANIENT,EQ,14-Jul-22,2353.5,2365,2404,2336.5,2394,2383.1,2366.95,933554,2209679065,34681,181162,19.41
ADANIENT,EQ,15-Jul-22,2383.1,2414.5,2422.95,2377,2401,2405.25,2400.98,1169788,2808640351,40288,174758,14.94
ADANIENT,EQ,18-Jul-22,2405.25,2424,2441.85,2406.05,2426.6,2423.6,2424.1,937204,2271880279,33675,146809,15.66
ADANIENT,EQ,19-Jul-22,2423.6,2406.95,2459.3,2405,2445,2451.3,2436.68,843301,2054853631,34038,122277,14.5
ADANIENT,EQ,20-Jul-22,2451.3,2462,2472.8,2444,2446,2451.1,2456.64,693601,1703930835,26569,170280,24.55
ADANIENT,EQ,21-Jul-22,2451.1,2453.8,2498.95,2451.25,2495,2495.5,2485.65,1314165,3266556412,40031,360242,27.41
ADANIENT,EQ,22-Jul-22,2495.5,2505.5,2514.05,2483.1,2498.9,2499.4,2500.88,833522,2084538223,31012,193849,23.26
ADANIENT,BL,25-Jul-22,1458.7,2499.4,2499.4,2499.4,2499.4,2499.4,2499.4,324759,811702644.6,1,-,-
ADANIENT,EQ,25-Jul-22,2499.4,2505,2562.15,2500,2549.9,2550.6,2537.51,1220351,3096654644,44274,205964,16.88
ADANIENT,EQ,26-Jul-22,2550.6,2555,2568.6,2533,2551,2559.7,2551.72,865142,2207601853,33126,125892,14.55
ADANIENT,EQ,27-Jul-22,2559.7,2560,2572.5,2528,2546.4,2548.7,2553.07,953588,2434577477,30742,249073,26.12
ADANIENT,EQ,28-Jul-22,2548.7,2559.9,2565.65,2531.6,2553,2550.4,2551.15,759442,1937453696,23183,156791,20.65
ADANIENT,EQ,29-Jul-22,2550.4,2565,2622,2560,2565.9,2569.2,2585.58,1107195,2862735936,37483,261890,23.65
ADANIENT,EQ,1-Aug-22,2569.2,2575.85,2669.4,2569.2,2655,2660.15,2626.72,1267039,3328154727,40581,235342,18.57
ADANIENT,EQ,2-Aug-22,2660.15,2660,2697,2640,2675,2683.65,2676.62,1096480,2934857055,40748,232966,21.25
ADANIENT,EQ,3-Aug-22,2683.65,2685,2717,2671.2,2714.45,2711.4,2694.49,815831,2198246881,32287,178736,21.91
ADANIENT,EQ,4-Aug-22,2711.4,2725,2743.9,2684.25,2721,2723.6,2720.76,1223799,3329664552,48196,247231,20.2
ADANIENT,EQ,5-Aug-22,2723.6,2760,2767.65,2685,2686.05,2698.4,2713.14,1639981,4449493510,75799,298110,18.18
ADANIENT,BL,8-Aug-22,2499.4,2698.4,2698.4,2698.4,2698.4,2698.4,2698.4,324759,876329685.6,1,-,-
ADANIENT,EQ,8-Aug-22,2698.4,2700,2807.65,2695.65,2791,2791.9,2756.06,1581696,4359247692,53583,412787,26.1
ADANIENT,EQ,10-Aug-22,2791.9,2801.75,2834.9,2781.55,2826,2827.2,2812.11,1304663,3668859593,44657,385830,29.57
ADANIENT,EQ,11-Aug-22,2827.2,2841,2848.4,2815.1,2837.4,2834.05,2834.79,978616,2774170059,32142,343095,35.06
ADANIENT,EQ,12-Aug-22,2834.05,2840,2871.15,2834.05,2868,2864.55,2858.52,843025,2409806514,33127,210677,24.99
ADANIENT,EQ,16-Aug-22,2864.55,2879,2986,2871,2979,2975.85,2942.96,1969492,5796142915,71617,228099,11.58
ADANIENT,EQ,17-Aug-22,2975.85,2986,3028.55,2980,3005,3008.65,3007.02,1510171,4541107649,57147,287479,19.04
ADANIENT,EQ,18-Aug-22,3008.65,3005,3186,3004,3157.75,3153.65,3113.47,3502295,10904277145,122950,366364,10.46
ADANIENT,EQ,19-Aug-22,3153.65,3178,3258.9,3075.25,3127,3130.2,3173.83,6109949,19391951235,229717,718746,11.76
ADANIENT,EQ,22-Aug-22,3130.2,3134,3191.8,3029.2,3056.65,3051.6,3118.52,3473580,10832426018,139398,480026,13.82
ADANIENT,EQ,23-Aug-22,3051.6,3032.65,3074,2927.4,3038.7,3030.65,3011.45,4169136,12555158039,157211,533193,12.79
ADANIENT,EQ,24-Aug-22,3030.65,3038,3153,2986,3151.4,3134.65,3058.83,3475387,10630611855,132308,541305,15.58
ADANIENT,EQ,25-Aug-22,3134.65,3167,3177.8,3055.7,3060.1,3066.35,3107.36,3119494,9693405538,113931,556602,17.84
ADANIENT,EQ,26-Aug-22,3066.35,3080,3172.95,3078,3148.5,3139.55,3135.78,2897602,9086254288,100125,380117,13.12
ADANIENT,EQ,29-Aug-22,3139.55,3055,3166.45,3037.85,3145,3142.6,3124.04,1924984,6013728391,78701,197337,10.25
