SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
ATGL,EQ,1-Jul-22,2392.9,2392.55,2442.95,2370,2389,2389,2394.68,436503,1045284300,17477,257016,58.88
ATGL,EQ,4-Jul-22,2389,2405.6,2429.9,2377,2388.25,2396.8,2392.46,322319,771135752.2,9813,236758,73.45
ATGL,EQ,5-Jul-22,2396.8,2400.05,2434.8,2362.45,2422.2,2410.45,2396.73,355962,853143421.8,15966,226267,63.56
ATGL,EQ,6-Jul-22,2410.45,2426.8,2487.8,2410.45,2470,2475.35,2464.47,257988,635802646.3,24880,97636,37.85
ATGL,EQ,7-Jul-22,2475.35,2499.85,2546,2465.05,2476.2,2485.75,2505.08,160658,402460668.4,16693,62814,39.1
ATGL,EQ,8-Jul-22,2485.75,2490,2564,2470.5,2545,2540.8,2521.54,230639,581564997.1,17285,92262,40
ATGL,EQ,11-Jul-22,2540.8,2550,2775,2502.15,2701,2716.65,2694.59,974385,2625572899,70147,189746,19.47
ATGL,EQ,12-Jul-22,2716.65,2690,2844.95,2685.05,2804.5,2797.55,2796.34,931697,2605337970,65436,127667,13.7
ATGL,EQ,13-Jul-22,2797.55,2830,2867.5,2646,2670.9,2672.1,2731.29,715239,1953528301,53390,142354,19.9
ATGL,EQ,14-Jul-22,2672.1,2689,2832,2601,2828.75,2764.85,2694.25,592269,1595718116,46096,124876,21.08
ATGL,EQ,15-Jul-22,2764.85,2800,2847.65,2731.05,2810,2807.7,2785.45,572560,1594836202,37666,104147,18.19
ATGL,EQ,18-Jul-22,2807.7,2832,2859.9,2767.6,2826,2832.8,2819.59,461187,1300359221,32539,94541,20.5
ATGL,EQ,19-Jul-22,2832.8,2817,2847,2765.1,2835,2832.35,2807.38,456761,1282303631,27108,98828,21.64
ATGL,EQ,20-Jul-22,2832.35,2849.85,2860.45,2728.1,2764,2779.95,2807.32,341959,959990028.6,23720,106438,31.13
ATGL,EQ,21-Jul-22,2779.95,2785,2893,2741.05,2880,2876.6,2848.08,737814,2101356726,38088,249635,33.83
ATGL,EQ,22-Jul-22,2876.6,2878.85,2889.7,2816.1,2870.5,2874.2,2857.09,339750,970697984.1,25678,108507,31.94
