SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
ITC,EQ,1-Jul-22,273.5,273.5,285,271.2,284.75,284.35,279.9,35165665,9842843332,217262,17917722,50.95
ITC,EQ,4-Jul-22,284.35,285.65,293.3,284.8,291.5,291.9,290.16,39881736,11571994522,236760,20299183,50.9
ITC,EQ,5-Jul-22,291.9,293,293,285.75,286.75,286.9,288.48,18568655,5356766751,148323,7284718,39.23
ITC,EQ,6-Jul-22,286.9,286.1,290,285.3,289.3,289.3,287.8,18292925,5264761919,127639,8377711,45.8
ITC,EQ,7-Jul-22,289.3,291,293.15,288.5,291.8,291.95,291.24,13794991,4017654189,92213,6750916,48.94
ITC,EQ,8-Jul-22,291.95,292.9,294.45,290.4,293.05,293.05,292.71,11110418,3252113136,108058,5246205,47.22
ITC,EQ,11-Jul-22,293.05,293,296.95,292.05,294.8,295,295.09,12352667,3645114497,136091,6181000,50.04
ITC,EQ,12-Jul-22,295,293,295.35,290.9,292.4,292.7,292.88,14074628,4122188826,79822,9420812,66.93
ITC,EQ,13-Jul-22,292.7,293,294.8,292.7,294,294.05,293.83,9277570,2726007442,91827,5213900,56.2
ITC,EQ,14-Jul-22,294.05,294.3,296.35,289.15,290.4,290.85,292.96,13414357,3929881063,131615,6415335,47.82
ITC,EQ,15-Jul-22,290.85,292,294,289.5,293.8,293.55,291.84,11025420,3217689791,92230,5661601,51.35
ITC,EQ,18-Jul-22,293.55,295,296.3,293.75,295.45,295.3,295.33,11315876,3341888353,97564,7068170,62.46
ITC,EQ,19-Jul-22,295.3,295,295.6,292.7,294.45,294.6,293.95,9188419,2700951099,66167,5820317,63.34
ITC,EQ,20-Jul-22,294.6,294.9,299.5,293.6,297.8,298.2,297.46,15789281,4696731730,129589,7952774,50.37
ITC,EQ,21-Jul-22,298.2,299,302.2,298,299.45,299.55,299.79,16042840,4809415086,148528,5579785,34.78
ITC,EQ,22-Jul-22,299.55,300,302.5,298.1,299.9,300.55,300.21,9967545,2992317209,132970,4578287,45.93
ITC,BL,25-Jul-22,235.35,300.55,300.55,300.55,300.55,300.55,300.55,4855820,1459416701,1,-,-
ITC,EQ,25-Jul-22,300.55,299,302.95,298.8,300.95,301.1,301.27,10640727,3205780241,122416,4967446,46.68
ITC,EQ,26-Jul-22,301.1,301,303.75,300.45,302.1,302.45,302.28,9739177,2943921158,132601,5366777,55.11
ITC,EQ,27-Jul-22,302.45,302.85,305,300.6,304.2,304.15,303.24,9346146,2834122483,90102,4783102,51.18
ITC,EQ,28-Jul-22,304.15,304.9,305.2,302.4,303.25,303.45,303.73,10839070,3292179152,116206,6054561,55.86
ITC,EQ,29-Jul-22,303.45,305,305.9,301.35,303.9,303.05,302.76,16932743,5126590092,118230,11436379,67.54
ITC,EQ,1-Aug-22,303.05,304,308.8,303.1,307.8,307.5,306.64,15889556,4872330248,139428,7752348,48.79
ITC,EQ,2-Aug-22,307.5,310,316.65,308.2,309.3,309.95,311.5,38982557,12142957305,261354,11405096,29.26
ITC,EQ,3-Aug-22,309.95,310.9,310.9,303.65,308,308.15,306.76,17695228,5428122427,155797,9242801,52.23
ITC,EQ,4-Aug-22,308.15,308,310.35,307.15,309.4,309.5,309.29,15901918,4918240462,133992,9863137,62.02
ITC,EQ,5-Aug-22,309.5,309.5,311.8,309.1,311.1,310.85,310.81,10088723,3135641714,88921,6984036,69.23
ITC,BL,8-Aug-22,300.55,310.85,310.85,310.85,310.85,310.85,310.85,4855822,1509432269,1,-,-
ITC,EQ,8-Aug-22,310.85,310.95,313.95,310.05,313,313.15,312.65,8307140,2597244021,107521,4956847,59.67
ITC,EQ,10-Aug-22,313.15,313.15,314.1,310.75,311.3,311.2,312.25,8923568,2786357033,134530,5772838,64.69
ITC,EQ,11-Aug-22,311.2,313,313.45,305.3,305.75,306.25,308.12,10885990,3354140392,149032,5988979,55.02
ITC,EQ,12-Aug-22,306.25,306.25,309.4,304.5,308.05,308.55,307.8,6422504,1976829183,90838,2906529,45.26
ITC,EQ,16-Aug-22,308.55,308.55,311.5,308.55,310.6,310.55,310.53,8609864,2673656851,119342,5536486,64.3
ITC,EQ,17-Aug-22,310.55,311.7,313.25,311,312.5,312.55,312.37,7975854,2491424846,114115,5190949,65.08
ITC,EQ,18-Aug-22,312.55,313,316,312.6,315.35,315.65,314.97,9883851,3113156971,118060,5609504,56.75
ITC,EQ,19-Aug-22,315.65,316.15,316.15,311.2,311.9,312,313.46,10422413,3266995924,111105,5988405,57.46
ITC,EQ,22-Aug-22,312,311.2,317,311,313.85,314.4,315.08,11355837,3577976869,139216,5081094,44.74
ITC,EQ,23-Aug-22,314.4,312.95,316,312.1,315.95,315.9,314.97,9338887,2941482818,107866,5220254,55.9
ITC,EQ,24-Aug-22,315.9,315.75,319.45,313.05,313.9,314.1,316.13,11346892,3587093978,139184,5582174,49.2
ITC,EQ,25-Aug-22,314.1,315.45,316.4,311.6,312.7,312.35,314.39,7759104,2439353578,98542,4220828,54.4
ITC,EQ,26-Aug-22,312.35,314.75,315.4,312,313.35,312.9,313.52,6956588,2181018083,155321,3979145,57.2
ITC,EQ,29-Aug-22,312.9,310,314.95,308.85,313.85,313.55,312.03,11361400,3545119890,144239,5948940,52.36
ITC,EQ,30-Aug-22,313.55,314.25,321.4,314.25,320.7,320.5,318.82,17829428,5684375336,136127,11915072,66.83
ITC,EQ,1-Sep-22,320.5,319.5,321.9,316,317.9,317.6,318.07,13254985,4216026194,164540,8499175,64.12
