SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
RAMRAT,EQ,29-Jul-22,223.05,227.65,248.8,227.65,235.1,236.05,239.09,79408,18985590.65,2007,46166,58.14
RAMRAT,EQ,1-Aug-22,236.05,248,283.25,241,264.55,268.3,268.57,236298,63461832.45,7407,116164,49.16
RAMRAT,EQ,2-Aug-22,268.3,270.9,308.9,270.2,298.95,298.4,293.63,405395,119037539.6,13911,137160,33.83
RAMRAT,EQ,3-Aug-22,298.4,304.8,314,290.05,299,297.05,301.99,163418,49349982,5608,68838,42.12
RAMRAT,EQ,4-Aug-22,297.05,295.7,298.85,267.35,281.5,280.15,279.32,131461,36719100.3,4522,69792,53.09
RAMRAT,EQ,5-Aug-22,280.15,285,308.15,263.5,282,279.45,281.23,112610,31669610.1,3659,36830,32.71
RAMRAT,EQ,8-Aug-22,279.45,283.75,303,280.15,301,300.8,297.22,129506,38491480.6,3794,82623,63.8
RAMRAT,EQ,10-Aug-22,300.8,300,303.8,283,284.55,285.65,290.87,70672,20556466.1,3004,42380,59.97
RAMRAT,EQ,11-Aug-22,285.65,294,296.6,271.15,279.5,278.75,278.16,100510,27958262,3491,53705,53.43
RAMRAT,EQ,12-Aug-22,278.75,284.7,284.7,262.25,275.45,278,279.57,55769,15591584.9,1997,37402,67.07
RAMRAT,EQ,16-Aug-22,278,283.9,283.95,275.1,282,281.45,280.89,41851,11755639.6,1813,29028,69.36
RAMRAT,EQ,17-Aug-22,281.45,282.8,284.7,277.4,281,279.85,281.21,34540,9713130,1566,22125,64.06
RAMRAT,EQ,18-Aug-22,279.85,282,282.7,273.05,280,279.4,280.39,39493,11073624.4,1113,31894,80.76
RAMRAT,EQ,19-Aug-22,279.4,286.95,291,275.1,279.95,277.8,280.25,79894,22390676.8,1923,61905,77.48
RAMRAT,EQ,22-Aug-22,277.8,285,287.95,278.15,280.5,280.2,280.64,61988,17396205.15,1860,44870,72.38
RAMRAT,EQ,23-Aug-22,280.2,281,282,279,279.8,280.25,280.3,71802,20126325.75,1650,56603,78.83
RAMRAT,EQ,24-Aug-22,280.25,280.5,282.65,276.05,279.8,279.9,279.81,63627,17803504.95,1690,55070,86.55
RAMRAT,EQ,25-Aug-22,279.9,278.95,297,271.1,289.5,289.1,286.54,252433,72331136.1,6709,109060,43.2
RAMRAT,EQ,26-Aug-22,289.1,295,318,291.1,318,316.3,311.21,280681,87351829.35,8406,146540,52.21
RAMRAT,EQ,29-Aug-22,316.3,318,347.9,310,347.9,347.9,336.3,308290,103678056.8,7700,151917,49.28
RAMRAT,EQ,30-Aug-22,347.9,359.1,365.25,357.95,365.25,365.25,363.95,24523,8925184.8,405,21390,87.22
RAMRAT,EQ,1-Sep-22,365.25,383.5,383.5,355,368,371.35,376.06,482478,181438774.9,10428,182919,37.91
RAMRAT,EQ,2-Sep-22,371.35,371.9,376.6,352.8,362,357.6,365.87,132373,48431469.25,5616,76688,57.93
RAMRAT,EQ,5-Sep-22,357.6,365.4,375.45,355,372,375.25,373.04,209397,78113469.8,3500,133619,63.81
RAMRAT,EQ,6-Sep-22,375.25,376.5,389.2,356.5,369,368.1,372.76,116037,43254181.55,5146,70996,61.18
