SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
CIPLA,EQ,1-Aug-22,977.4,990,1031,988.3,1005,1004.55,1006.93,4647912,4680105149,124406,1402518,30.18
CIPLA,EQ,2-Aug-22,1004.55,1003.65,1006.1,992,1002.5,1004.2,998.38,1184696,1182772035,61355,559734,47.25
CIPLA,EQ,3-Aug-22,1004.2,1010,1028.75,1004.5,1014.55,1011.85,1018.6,4052763,4128147189,110633,1496452,36.92
CIPLA,EQ,4-Aug-22,1011.85,1017.8,1046.9,1015,1044,1044.5,1033.95,2865077,2962333439,72010,1026834,35.84
CIPLA,EQ,5-Aug-22,1044.5,1040,1045.95,1032,1033.6,1034.2,1037.6,1561405,1620110723,55553,764519,48.96
CIPLA,BL,8-Aug-22,972.1,1034.2,1034.2,1034.2,1034.2,1034.2,1034.2,655043,677445470.6,1,-,-
CIPLA,EQ,8-Aug-22,1034.2,1036.2,1039.5,1024.1,1030.75,1029.55,1028.91,767289,789468930,33730,361561,47.12
CIPLA,EQ,10-Aug-22,1029.55,1035.55,1046.3,1029.05,1036.15,1038.35,1035.37,1293683,1339435120,62526,505515,39.08
CIPLA,EQ,11-Aug-22,1038.35,1040.5,1049,1035,1037.85,1038.4,1040.75,838963,873151407.2,42028,379196,45.2
CIPLA,EQ,12-Aug-22,1038.4,1043.6,1043.6,1022.35,1028,1027.15,1030.47,1140717,1175479039,49205,572202,50.16
CIPLA,EQ,16-Aug-22,1027.15,1027.15,1036,1025.25,1036,1034.55,1031.31,776409,800720582,36241,290842,37.46
CIPLA,EQ,17-Aug-22,1034.55,1039.75,1042.95,1024.2,1027,1025.75,1028.87,1102323,1134149854,49686,503078,45.64
CIPLA,EQ,18-Aug-22,1025.75,1028.5,1034.05,1007.35,1032,1032.2,1020.32,1201720,1226134429,49033,309827,25.78
CIPLA,EQ,19-Aug-22,1032.2,1029.05,1036.6,1020.1,1029,1030.1,1028.21,654004,672453102.3,27944,159973,24.46
CIPLA,EQ,22-Aug-22,1030.1,1016,1029.85,1015.5,1024.05,1022.55,1022.27,993053,1015166744,37290,457474,46.07
CIPLA,EQ,23-Aug-22,1022.55,1010.2,1046.8,1010.2,1040.9,1040.65,1038.22,1868332,1939743985,66286,817721,43.77
CIPLA,EQ,24-Aug-22,1040.65,1041,1053.85,1026.05,1035.8,1037.35,1037.94,1562062,1621325688,71820,747428,47.85
CIPLA,EQ,25-Aug-22,1037.35,1043.95,1043.95,1020.55,1020.9,1025.75,1029.51,1112617,1145455832,41777,593758,53.37
CIPLA,EQ,26-Aug-22,1025.75,1030.9,1035.7,1018.5,1022.5,1020.8,1025.95,1264070,1296870143,40051,678243,53.66
CIPLA,EQ,29-Aug-22,1020.8,1000,1024,991.3,1017,1017.3,1012.09,1305557,1321334774,57944,592430,45.38
CIPLA,EQ,30-Aug-22,1017.3,1018.5,1042.2,1016.1,1038.35,1038.45,1031.52,1571042,1620565965,47513,838006,53.34
CIPLA,EQ,1-Sep-22,1038.45,1026,1044.25,1019.4,1024,1023,1030.9,1528731,1575963555,54040,812841,53.17
CIPLA,EQ,2-Sep-22,1023,1024,1031.2,1012.05,1016,1015.6,1018.72,1655229,1686212565,56257,1037469,62.68
CIPLA,EQ,5-Sep-22,1015.6,1012.5,1030.45,1012,1026,1025.65,1025.35,1275368,1307698596,32252,787714,61.76
CIPLA,EQ,6-Sep-22,1025.65,1025,1042,1024.9,1040.9,1040.85,1038,1369910,1421964250,35170,537668,39.25
CIPLA,EQ,7-Sep-22,1040.85,1033.85,1061.85,1033,1050.15,1051.5,1048.33,2471263,2590707438,58400,1021570,41.34
CIPLA,EQ,8-Sep-22,1051.5,1058.5,1059.75,1044,1053.8,1056.05,1050.84,1755391,1844633274,45428,949696,54.1
CIPLA,EQ,9-Sep-22,1056.05,1060,1065.95,1055,1055,1058.3,1060.47,1092235,1158278240,34404,591445,54.15
CIPLA,EQ,12-Sep-22,1058.3,1058.3,1068.5,1057.1,1064.9,1064.75,1064.02,936787,996760502,28243,542086,57.87
CIPLA,EQ,13-Sep-22,1064.75,1057.05,1063,1052.65,1057.1,1058.9,1057.97,1144685,1211045249,37047,595845,52.05
CIPLA,EQ,14-Sep-22,1058.9,1040,1068,1040,1062.95,1059.95,1061.77,998799,1060495698,49830,509983,51.06
