SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
HINDCON,EQ,1-Aug-22,62.1,63,63,62.05,62.15,62.3,62.49,3203,200168.35,96,2538,79.24
HINDCON,EQ,2-Aug-22,62.3,62.5,64,61.3,62.05,62.3,62.89,5918,372176.45,122,4174,70.53
HINDCON,EQ,3-Aug-22,62.3,63,63,60.1,62.5,61.45,61.83,9096,562373.95,157,6692,73.57
HINDCON,EQ,4-Aug-22,61.45,62.35,62.4,61.1,62.4,61.7,61.76,6207,383359.95,131,4481,72.19
HINDCON,EQ,5-Aug-22,61.7,62.8,62.95,61.5,61.6,61.85,62.15,4930,306380.95,119,3804,77.16
HINDCON,EQ,8-Aug-22,61.85,63,68,59.15,64,64.15,63.45,20172,1279892,384,13373,66.29
HINDCON,EQ,10-Aug-22,64.15,64.15,65.95,63.25,63.75,63.95,64.56,7996,516224.1,221,4690,58.65
HINDCON,EQ,11-Aug-22,63.95,65.15,65.75,62.65,63.2,63.6,64.34,9210,592534.85,179,6832,74.18
HINDCON,EQ,12-Aug-22,63.6,63.2,64.65,62.65,63.25,63.2,63.19,9170,579467.15,167,5779,63.02
HINDCON,EQ,16-Aug-22,63.2,61.25,63.9,61.25,63.9,62.8,62.52,4988,311825.25,169,3687,73.92
HINDCON,EQ,17-Aug-22,62.8,63.9,64.85,62.5,62.75,63.85,63.9,14800,945774.8,224,11600,78.38
HINDCON,EQ,18-Aug-22,63.85,65,73,64,67.85,69.15,69.75,158949,11085905.9,1536,60302,37.94
HINDCON,EQ,19-Aug-22,69.15,70,70.5,68,68.5,68.65,69.14,28587,1976606.35,451,20945,73.27
HINDCON,EQ,22-Aug-22,68.65,69,70.55,65.25,65.35,66.2,67.84,18765,1273080.8,360,14106,75.17
HINDCON,EQ,23-Aug-22,66.2,67.8,70,66.6,70,69.15,68.53,24525,1680812.05,331,19356,78.92
HINDCON,EQ,24-Aug-22,69.15,70.45,74,68.45,73.75,73.45,72.59,92495,6713965.6,898,63325,68.46
HINDCON,EQ,25-Aug-22,73.45,75,75,71,71.3,71.4,72.96,25814,1883422.85,434,20682,80.12
HINDCON,EQ,26-Aug-22,71.4,72.7,73.4,70.8,72.55,72.2,72.12,15917,1147977.2,272,10831,68.05
HINDCON,EQ,29-Aug-22,72.2,69,72.1,63.45,72.1,71.2,69.5,25783,1792009.95,409,15221,59.04
HINDCON,EQ,30-Aug-22,71.2,70.35,73.5,70,70,70.65,72.31,19262,1392835.4,314,14807,76.87
HINDCON,EQ,1-Sep-22,70.65,70.65,73,70.5,72,71.4,72.33,17117,1238156.9,346,12587,73.54
HINDCON,EQ,2-Sep-22,71.4,72.1,73.45,71.15,72.5,72.5,72.38,21247,1537788.25,340,16506,77.69
HINDCON,EQ,5-Sep-22,72.5,73.95,73.95,70.5,72.5,72.9,73.15,6840,500331.9,175,5686,83.13
HINDCON,EQ,6-Sep-22,72.9,74,74,70.3,72.3,73.3,72.7,16477,1197925.45,312,12179,73.92
HINDCON,EQ,7-Sep-22,73.3,71.75,73.9,71.75,72.6,72.95,72.91,11100,809248.3,191,8364,75.35
HINDCON,EQ,8-Sep-22,72.95,74,74,71.55,71.6,71.95,72.44,11096,803743.55,238,7528,67.84
HINDCON,EQ,9-Sep-22,71.95,73.35,73.9,71.65,71.65,72.05,72.65,13023,946098.85,200,8680,66.65
HINDCON,EQ,12-Sep-22,72.05,73.45,73.7,70.3,72.55,71.3,71.97,19793,1424531.9,375,13507,68.24
HINDCON,EQ,13-Sep-22,71.3,72.5,73.25,71.8,73.25,72.85,72.45,12850,931017.7,194,11057,86.05
HINDCON,EQ,14-Sep-22,72.85,73.5,87.4,71.4,87.4,87.4,84.14,474386,39913265.9,3128,297874,62.79
HINDCON,EQ,15-Sep-22,87.4,92.7,104.85,87.25,100.15,101.5,98.49,1931902,190273903.1,16654,442692,22.91
HINDCON,EQ,16-Sep-22,101.5,100.85,100.85,91.35,93.25,93.15,93.76,442417,41479691.95,5177,207806,46.97
HINDCON,EQ,19-Sep-22,93.15,97.2,97.2,88,89.6,90.05,91.99,128904,11857556.45,1828,76805,59.58
HINDCON,EQ,20-Sep-22,90.05,90.05,96.3,89.05,94,94.3,93.76,123773,11604759.1,1691,59797,48.31
HINDCON,EQ,21-Sep-22,94.3,95.7,95.7,88.3,90.75,90.7,91.19,89076,8122480.75,1138,47569,53.4
HINDCON,EQ,22-Sep-22,90.7,90.75,92.6,90,90.75,90.65,91.04,50704,4615936.25,716,33472,66.01
HINDCON,EQ,23-Sep-22,90.65,89.65,91.9,85.65,87.9,87.85,88.41,36116,3193027.8,728,24338,67.39
HINDCON,EQ,26-Sep-22,87.85,89,89,79.1,80,79.75,80.87,77387,6258254.9,1324,46960,60.68
HINDCON,EQ,27-Sep-22,79.75,81.35,83.9,80.25,83,82.25,81.91,49109,4022612.3,680,22961,52.72
HINDCON,EQ,28-Sep-22,82.25,83.85,83.85,80.2,80.65,81,81.72,21836,1784425.5,456,12904,59.1
HINDCON,EQ,29-Sep-22,81,82.7,84.3,75.35,76.25,76.8,79.09,45018,3560525.75,1055,22069,49.02
HINDCON,EQ,30-Sep-22,76.8,76.25,80,75.65,77.5,77.1,77.8,34605,2692216.35,722,19296,55.76
HINDCON,EQ,3-Oct-22,77.1,78,84.8,77.1,84.8,84.8,82.94,87551,7261833.8,1328,37803,43.18
HINDCON,EQ,4-Oct-22,84.8,88.8,88.8,85.15,87.4,86.75,86.77,45290,3929805.4,902,22988,50.76
HINDCON,EQ,6-Oct-22,86.75,88.2,88.2,85.5,86,86.1,86.49,42462,3672458.6,704,20705,48.76
HINDCON,EQ,7-Oct-22,86.1,87.9,87.9,85.3,86.4,86.8,86.47,29585,2558303.7,584,13013,43.99
HINDCON,EQ,10-Oct-22,86.8,88.75,95,85.85,91.75,91.3,91.81,91958,8442264.75,1473,41885,45.55
HINDCON,EQ,11-Oct-22,91.3,96,96,90.2,91,90.6,92.44,35484,3280125,923,22812,64.29
HINDCON,EQ,12-Oct-22,90.6,93,108.4,92,105.9,107.2,104.68,1243425,130162353.9,13445,355021,28.55
HINDCON,EQ,13-Oct-22,107.2,109.05,127.9,109.05,127.8,125.65,119.14,2232261,265950567.5,32970,443645,19.87
